input	chunk	run	mode	raw_bytes	total_bytes	framing_bytes	payload_bytes	model_bytes	fold_bytes	encode_us	decode_us	ok
corpus_set/precompressed/in.bin	7	0	order1_byte	65536	66508	10	66498	0	70295	0	0	1
corpus_set/precompressed/in.bin	7	0	context	65536	81237	3826	77411	0	70295	206427	38461	1
corpus_set/precompressed/in.bin	7	1	context	65536	81237	3826	77411	0	70295	208916	38903	1
corpus_set/precompressed/in.bin	7	2	context	65536	81237	3826	77411	0	70295	206502	38327	1
corpus_set/precompressed/in.bin	8	0	fold	65536	70537	5274	65263	0	70537	0	0	1
corpus_set/precompressed/in.bin	8	0	order0	65536	69749	4014	65735	0	70537	0	0	1
corpus_set/precompressed/in.bin	8	0	order1_tok	65536	81252	4014	77238	0	70537	0	0	1
corpus_set/precompressed/in.bin	8	0	order1_byte	65536	66459	10	66449	0	70537	0	0	1
corpus_set/precompressed/in.bin	8	0	context	65536	81602	4018	77584	0	70537	238036	40997	1
corpus_set/precompressed/in.bin	8	1	context	65536	81602	4018	77584	0	70537	233101	43505	1
corpus_set/precompressed/in.bin	8	2	context	65536	81602	4018	77584	0	70537	235964	39203	1
corpus_set/precompressed/in.bin	9	0	fold	65536	70156	4864	65292	0	70156	0	0	1
corpus_set/precompressed/in.bin	9	0	order0	65536	69435	3686	65749	0	70156	0	0	1
corpus_set/precompressed/in.bin	9	0	order1_tok	65536	80711	3686	77025	0	70156	0	0	1
corpus_set/precompressed/in.bin	9	0	order1_byte	65536	66538	10	66528	0	70156	0	0	1
corpus_set/precompressed/in.bin	9	0	context	65536	81003	3690	77313	0	70156	218954	38539	1
corpus_set/precompressed/in.bin	9	1	context	65536	81003	3690	77313	0	70156	215415	38839	1
corpus_set/precompressed/in.bin	9	2	context	65536	81003	3690	77313	0	70156	221714	38882	1
corpus_set/precompressed/in.bin	10	0	fold	65536	70358	5104	65254	0	70358	0	0	1
corpus_set/precompressed/in.bin	10	0	order0	65536	69606	3878	65728	0	70358	0	0	1
corpus_set/precompressed/in.bin	10	0	order1_tok	65536	81004	3878	77126	0	70358	0	0	1
corpus_set/precompressed/in.bin	10	0	order1_byte	65536	66487	10	66477	0	70358	0	0	1
corpus_set/precompressed/in.bin	10	0	context	65536	81310	3882	77428	0	70358	229900	40768	1
corpus_set/precompressed/in.bin	10	1	context	65536	81310	3882	77428	0	70358	230165	41136	1
corpus_set/precompressed/in.bin	10	2	context	65536	81310	3882	77428	0	70358	232170	42369	1
corpus_set/precompressed/in.bin	11	0	fold	65536	70316	5044	65272	0	70316	0	0	1
corpus_set/precompressed/in.bin	11	0	order0	65536	69569	3830	65739	0	70316	0	0	1
corpus_set/precompressed/in.bin	11	0	order1_tok	65536	80936	3830	77106	0	70316	0	0	1
corpus_set/precompressed/in.bin	11	0	order1_byte	65536	66495	10	66485	0	70316	0	0	1
corpus_set/precompressed/in.bin	11	0	context	65536	81254	3834	77420	0	70316	224955	38226	1
corpus_set/precompressed/in.bin	11	1	context	65536	81254	3834	77420	0	70316	210208	38616	1
corpus_set/precompressed/in.bin	11	2	context	65536	81254	3834	77420	0	70316	208319	36479	1
corpus_set/precompressed/in.bin	12	0	fold	65536	70295	5029	65266	0	70295	0	0	1
corpus_set/precompressed/in.bin	12	0	order0	65536	69554	3818	65736	0	70295	0	0	1
corpus_set/precompressed/in.bin	12	0	order1_tok	65536	80911	3818	77093	0	70295	0	0	1
corpus_set/precompressed/in.bin	12	0	order1_byte	65536	66493	10	66483	0	70295	0	0	1
corpus_set/precompressed/in.bin	12	0	context	65536	81252	3822	77430	0	70295	205686	35983	1
corpus_set/precompressed/in.bin	12	1	context	65536	81252	3822	77430	0	70295	211325	36163	1
corpus_set/precompressed/in.bin	12	2	context	65536	81252	3822	77430	0	70295	204430	39156	1
corpus_set/precompressed/in.bin	13	0	fold	65536	70152	4869	65283	0	70152	0	0	1
corpus_set/precompressed/in.bin	13	0	order0	65536	69430	3690	65740	0	70152	0	0	1
corpus_set/precompressed/in.bin	13	0	order1_tok	65536	80678	3690	76988	0	70152	0	0	1
corpus_set/precompressed/in.bin	13	0	order1_byte	65536	66514	10	66504	0	70152	0	0	1
corpus_set/precompressed/in.bin	13	0	context	65536	80986	3694	77292	0	70152	200602	39906	1
corpus_set/precompressed/in.bin	13	1	context	65536	80986	3694	77292	0	70152	204370	36332	1
corpus_set/precompressed/in.bin	13	2	context	65536	80986	3694	77292	0	70152	200378	38402	1
corpus_set/precompressed/in.bin	14	0	fold	65536	70232	4949	65283	0	70232	0	0	1
corpus_set/precompressed/in.bin	14	0	order0	65536	69498	3754	65744	0	70232	0	0	1
corpus_set/precompressed/in.bin	14	0	order1_tok	65536	80812	3754	77058	0	70232	0	0	1
corpus_set/precompressed/in.bin	14	0	order1_byte	65536	66512	10	66502	0	70232	0	0	1
corpus_set/precompressed/in.bin	14	0	context	65536	81149	3758	77391	0	70232	201958	40691	1
corpus_set/precompressed/in.bin	14	1	context	65536	81149	3758	77391	0	70232	203099	36284	1
corpus_set/precompressed/in.bin	14	2	context	65536	81149	3758	77391	0	70232	205450	37162	1
corpus_set/precompressed/in.bin	15	0	fold	65536	70354	5094	65260	0	70354	0	0	1
corpus_set/precompressed/in.bin	15	0	order0	65536	69595	3870	65725	0	70354	0	0	1
corpus_set/precompressed/in.bin	15	0	order1_tok	65536	80968	3870	77098	0	70354	0	0	1
corpus_set/precompressed/in.bin	15	0	order1_byte	65536	66495	10	66485	0	70354	0	0	1
corpus_set/precompressed/in.bin	15	0	context	65536	81313	3874	77439	0	70354	210931	38620	1
corpus_set/precompressed/in.bin	15	1	context	65536	81313	3874	77439	0	70354	212013	38652	1
corpus_set/precompressed/in.bin	15	2	context	65536	81313	3874	77439	0	70354	208626	39827	1
corpus_set/precompressed/z.zst	0	0	fold	65536	70225	4954	65271	0	70225	0	0	1
corpus_set/precompressed/z.zst	0	0	order0	65536	69496	3758	65738	0	70225	0	0	1
corpus_set/precompressed/z.zst	0	0	order1_tok	65536	80815	3758	77057	0	70225	0	0	1
corpus_set/precompressed/z.zst	0	0	order1_byte	65536	66520	10	66510	0	70225	0	0	1
corpus_set/precompressed/z.zst	0	0	context	65536	81142	3762	77380	0	70225	203107	35762	1
corpus_set/precompressed/z.zst	0	1	context	65536	81142	3762	77380	0	70225	203529	35585	1
corpus_set/precompressed/z.zst	0	2	context	65536	81142	3762	77380	0	70225	201249	35924	1
corpus_set/precompressed/z.zst	1	0	fold	65536	70199	4924	65275	0	70199	0	0	1
corpus_set/precompressed/z.zst	1	0	order0	65536	69475	3734	65741	0	70199	0	0	1
