corpus	jobs	run	raw	arc_bytes	arc_blake3	create_ms	extract_ms	ok
random	1	1	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	23	10	true
random	1	2	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	23	10	true
random	1	3	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	24	12	true
random	1	4	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	22	11	true
random	2	0	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	23	10	true
random	2	1	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	23	10	true
random	2	2	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	23	10	true
random	2	3	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	23	11	true
random	2	4	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	22	11	true
random	4	0	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	22	12	true
random	4	1	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	24	10	true
random	4	2	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	22	10	true
random	4	3	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	23	10	true
random	4	4	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	23	11	true
random	8	0	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	24	10	true
random	8	1	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	23	12	true
random	8	2	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	25	11	true
random	8	3	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	25	13	true
random	8	4	1048576	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	26	12	true
text-large	1	0	1375929	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	15720	49	true
text-large	1	1	1375929	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	15918	48	true
text-large	1	2	1375929	324987	9211aed78170840f850d7efaf0d0a91ae27686e0d7fabd2d683192eb6988e762	15887	48	true
