class	arch	lane	run	files	bytes	chunks	raw_bytes	payload_bytes	replay_bytes	total_bytes	delta_bytes	delta_percent	median_compress_ms	ok
cold-image	unknown	xz-x86-9e	0	8	1588285	9	1585922	1560584	0	1560584	-25338	-1.597683	15	1
cold-image	unknown	zstd-x86-19	0	8	1588285	9	1585922	1561870	0	1561870	-24052	-1.516594	10	1
executable	*	bcj-base0	0	8	2503384	8	1326527	1322957	40	1322997	-3530	-0.266108	2103	1
executable	*	bcj-base0	1	8	2503384	8	1326527	1322957	40	1322997	-3530	-0.266108	2074	1
executable	*	bcj-base0	2	8	2503384	8	1326527	1322957	40	1322997	-3530	-0.266108	2077	1
executable	*	bcj-x64	0	8	2503384	8	1326527	1328264	40	1328304	1777	0.133959	2065	1
executable	*	bcj-x64	1	8	2503384	8	1326527	1328264	40	1328304	1777	0.133959	2066	1
executable	*	bcj-x64	2	8	2503384	8	1326527	1328264	40	1328304	1777	0.133959	2061	1
executable	*	bcj-x86	0	8	2503384	8	1326527	1332445	40	1332485	5958	0.449143	2064	1
executable	*	bcj-x86	1	8	2503384	8	1326527	1332445	40	1332485	5958	0.449143	2074	1
executable	*	bcj-x86	2	8	2503384	8	1326527	1332445	40	1332485	5958	0.449143	2062	1
executable	*	raw-aahl	0	8	2503384	8	1326527	1326527	0	1326527	0	0.000000	2082	1
executable	*	raw-aahl	1	8	2503384	8	1326527	1326527	0	1326527	0	0.000000	2089	1
executable	*	raw-aahl	2	8	2503384	8	1326527	1326527	0	1326527	0	0.000000	2159	1
executable	*	xz-x86-9e	0	8	2503384	8	1326527	824752	0	824752	-501775	-37.826218	132	1
executable	*	zstd-x86-19	0	8	2503384	8	1326527	922254	0	922254	-404273	-30.476048	99	1
executable	amd64	bcj-base0	0	8	2503384	8	1326527	1322957	40	1322997	-3530	-0.266108	2103	1
executable	amd64	bcj-base0	1	8	2503384	8	1326527	1322957	40	1322997	-3530	-0.266108	2074	1
executable	amd64	bcj-base0	2	8	2503384	8	1326527	1322957	40	1322997	-3530	-0.266108	2077	1
executable	amd64	bcj-x64	0	8	2503384	8	1326527	1328264	40	1328304	1777	0.133959	2065	1
executable	amd64	bcj-x64	1	8	2503384	8	1326527	1328264	40	1328304	1777	0.133959	2066	1
executable	amd64	bcj-x64	2	8	2503384	8	1326527	1328264	40	1328304	1777	0.133959	2061	1
executable	amd64	bcj-x86	0	8	2503384	8	1326527	1332445	40	1332485	5958	0.449143	2064	1
executable	amd64	bcj-x86	1	8	2503384	8	1326527	1332445	40	1332485	5958	0.449143	2074	1
executable	amd64	bcj-x86	2	8	2503384	8	1326527	1332445	40	1332485	5958	0.449143	2062	1
executable	amd64	raw-aahl	0	8	2503384	8	1326527	1326527	0	1326527	0	0.000000	2082	1
executable	amd64	raw-aahl	1	8	2503384	8	1326527	1326527	0	1326527	0	0.000000	2089	1
executable	amd64	raw-aahl	2	8	2503384	8	1326527	1326527	0	1326527	0	0.000000	2159	1
executable	amd64	xz-x86-9e	0	8	2503384	8	1326527	824752	0	824752	-501775	-37.826218	132	1
executable	amd64	zstd-x86-19	0	8	2503384	8	1326527	922254	0	922254	-404273	-30.476048	99	1
installer	*	bcj-base0	0	8	2867455	10	594922	597486	40	597526	2604	0.437704	26	1
installer	*	bcj-base0	1	8	2867455	10	594922	597486	40	597526	2604	0.437704	26	1
installer	*	bcj-base0	2	8	2867455	10	594922	597486	40	597526	2604	0.437704	28	1
installer	*	bcj-x64	0	8	2867455	10	594922	596678	40	596718	1796	0.301888	27	1
installer	*	bcj-x64	1	8	2867455	10	594922	596678	40	596718	1796	0.301888	26	1
installer	*	bcj-x64	2	8	2867455	10	594922	596678	40	596718	1796	0.301888	26	1
installer	*	bcj-x86	0	8	2867455	10	594922	599067	40	599107	4185	0.703454	26	1
installer	*	bcj-x86	1	8	2867455	10	594922	599067	40	599107	4185	0.703454	27	1
installer	*	bcj-x86	2	8	2867455	10	594922	599067	40	599107	4185	0.703454	26	1
installer	*	raw-aahl	0	8	2867455	10	594922	594922	0	594922	0	0.000000	27	1
installer	*	raw-aahl	1	8	2867455	10	594922	594922	0	594922	0	0.000000	27	1
installer	*	raw-aahl	2	8	2867455	10	594922	594922	0	594922	0	0.000000	27	1
installer	*	xz-x86-9e	0	8	2867455	10	594922	356252	0	356252	-238670	-40.117864	21	1
installer	*	zstd-x86-19	0	8	2867455	10	594922	396900	0	396900	-198022	-33.285372	12	1
installer	amd64	bcj-base0	0	2	183776	2	114018	114297	10	114307	289	0.253469	998	1
installer	amd64	bcj-base0	1	2	183776	2	114018	114297	10	114307	289	0.253469	997	1
installer	amd64	bcj-base0	2	2	183776	2	114018	114297	10	114307	289	0.253469	1000	1
installer	amd64	bcj-x64	0	2	183776	2	114018	115460	10	115470	1452	1.273483	1014	1
installer	amd64	bcj-x64	1	2	183776	2	114018	115460	10	115470	1452	1.273483	1018	1
installer	amd64	bcj-x64	2	2	183776	2	114018	115460	10	115470	1452	1.273483	1017	1
installer	amd64	bcj-x86	0	2	183776	2	114018	114668	10	114678	660	0.578856	994	1
installer	amd64	bcj-x86	1	2	183776	2	114018	114668	10	114678	660	0.578856	1017	1
installer	amd64	bcj-x86	2	2	183776	2	114018	114668	10	114678	660	0.578856	1014	1
installer	amd64	raw-aahl	0	2	183776	2	114018	114018	0	114018	0	0.000000	1007	1
installer	amd64	raw-aahl	1	2	183776	2	114018	114018	0	114018	0	0.000000	997	1
installer	amd64	raw-aahl	2	2	183776	2	114018	114018	0	114018	0	0.000000	992	1
installer	amd64	xz-x86-9e	0	2	183776	2	114018	77628	0	77628	-36390	-31.916013	75	1
installer	amd64	zstd-x86-19	0	2	183776	2	114018	83694	0	83694	-30324	-26.595801	53	1
installer	i386	bcj-base0	0	1	2630848	3	439270	441556	5	441561	2291	0.521547	8365	1
installer	i386	bcj-base0	1	1	2630848	3	439270	441556	5	441561	2291	0.521547	8267	1
installer	i386	bcj-base0	2	1	2630848	3	439270	441556	5	441561	2291	0.521547	8300	1
installer	i386	bcj-x64	0	1	2630848	3	439270	439555	5	439560	290	0.066019	8348	1
installer	i386	bcj-x64	1	1	2630848	3	439270	439555	5	439560	290	0.066019	8384	1
installer	i386	bcj-x64	2	1	2630848	3	439270	439555	5	439560	290	0.066019	8416	1
