input	chunk	run	mode	bytes	alph_size	table_bits	payload_bits	total_bits	total_bytes	arith_bytes	ratio	encode_us	decode_us	ok
table.csv	3	0	arith-tok	1048576	0	0	1115560	1148440	143555	143555	1.000000	3091	7574	1
table.csv	3	1	arith-tok	1048576	0	0	1115560	1148440	143555	143555	1.000000	3074	8226	1
table.csv	3	2	arith-tok	1048576	0	0	1115560	1148440	143555	143555	1.000000	3200	7536	1
table.csv	3	0	tans-recut	143555	256	8216	1146750	1155032	144379	143555	1.005740	4170	2594	1
table.csv	3	1	tans-recut	143555	256	8216	1146750	1155032	144379	143555	1.005740	4845	1905	1
table.csv	3	2	tans-recut	143555	256	8216	1146750	1155032	144379	143555	1.005740	4024	1840	1
table.csv	4	0	tans-lit	1048576	39	1272	4925738	4927128	615891	616649	0.998771	28097	13283	1
table.csv	4	1	tans-lit	1048576	39	1272	4925738	4927128	615891	616649	0.998771	27288	14089	1
table.csv	4	2	tans-lit	1048576	39	1272	4925738	4927128	615891	616649	0.998771	29373	13091	1
table.csv	4	0	arith-lit	1048576	0	0	4933080	4933192	616649	616649	1.000000	18451	51103	1
table.csv	4	1	arith-lit	1048576	0	0	4933080	4933192	616649	616649	1.000000	17586	51546	1
table.csv	4	2	arith-lit	1048576	0	0	4933080	4933192	616649	616649	1.000000	17877	51381	1
table.csv	4	0	tans-tok	1048576	839	26872	1067144	1126896	140862	137957	1.021057	4802	3096	1
table.csv	4	1	tans-tok	1048576	839	26872	1067144	1126896	140862	137957	1.021057	4994	3130	1
table.csv	4	2	tans-tok	1048576	839	26872	1067144	1126896	140862	137957	1.021057	4990	3038	1
table.csv	4	0	arith-tok	1048576	0	0	1070776	1103656	137957	137957	1.000000	2884	7230	1
table.csv	4	1	arith-tok	1048576	0	0	1070776	1103656	137957	137957	1.000000	2861	7774	1
table.csv	4	2	arith-tok	1048576	0	0	1070776	1103656	137957	137957	1.000000	3011	7261	1
table.csv	4	0	tans-recut	137957	256	8216	1101889	1110176	138772	137957	1.005908	4010	1772	1
table.csv	4	1	tans-recut	137957	256	8216	1101889	1110176	138772	137957	1.005908	3910	1769	1
table.csv	4	2	tans-recut	137957	256	8216	1101889	1110176	138772	137957	1.005908	3842	1768	1
table.csv	5	0	tans-lit	1048576	39	1272	4928179	4929568	616196	616958	0.998765	28476	13118	1
table.csv	5	1	tans-lit	1048576	39	1272	4928179	4929568	616196	616958	0.998765	28044	13303	1
table.csv	5	2	tans-lit	1048576	39	1272	4928179	4929568	616196	616958	0.998765	28310	13430	1
table.csv	5	0	arith-lit	1048576	0	0	4935552	4935664	616958	616958	1.000000	18234	50384	1
table.csv	5	1	arith-lit	1048576	0	0	4935552	4935664	616958	616958	1.000000	17567	50253	1
table.csv	5	2	arith-lit	1048576	0	0	4935552	4935664	616958	616958	1.000000	17584	50557	1
table.csv	5	0	tans-tok	1048576	873	27960	1107694	1168536	146067	142946	1.021833	4175	2551	1
table.csv	5	1	tans-tok	1048576	873	27960	1107694	1168536	146067	142946	1.021833	4239	2549	1
table.csv	5	2	tans-tok	1048576	873	27960	1107694	1168536	146067	142946	1.021833	4104	2550	1
table.csv	5	0	arith-tok	1048576	0	0	1110688	1143568	142946	142946	1.000000	3110	7712	1
table.csv	5	1	arith-tok	1048576	0	0	1110688	1143568	142946	142946	1.000000	3104	7595	1
table.csv	5	2	arith-tok	1048576	0	0	1110688	1143568	142946	142946	1.000000	3106	7593	1
table.csv	5	0	tans-recut	142946	256	8216	1141781	1150064	143758	142946	1.005680	7608	2095	1
table.csv	5	1	tans-recut	142946	256	8216	1141781	1150064	143758	142946	1.005680	4777	2160	1
table.csv	5	2	tans-recut	142946	256	8216	1141781	1150064	143758	142946	1.005680	4712	2189	1
table.csv	6	0	tans-lit	1048576	39	1272	4932450	4933840	616730	617489	0.998771	30467	15262	1
table.csv	6	1	tans-lit	1048576	39	1272	4932450	4933840	616730	617489	0.998771	32434	15010	1
table.csv	6	2	tans-lit	1048576	39	1272	4932450	4933840	616730	617489	0.998771	31412	15163	1
