corpus	raw	size	create_ms	extract_ms	ratio	ok
empty/7z9	0	130	13	20	1.0000	true
empty/aahl-v4	0	101	18	8	1.0000	true
empty/rar	0	73	34	34	1.0000	true
empty/xz	0	32	10	9	1.0000	true
empty/zip6	0	186	15	31	1.0000	true
empty/zstd	0	13	10	9	1.0000	true
precompressed/7z9	2097189	1049583	130	24	0.5005	true
precompressed/aahl-v4	2097189	2097334	28	13	1.0001	true
precompressed/rar	2097189	2097440	108	34	1.0001	true
precompressed/xz	2097189	2097428	470	14	1.0001	true
precompressed/zip6	2097189	2097557	54	25	1.0002	true
precompressed/zstd	2097189	2097266	213	13	1.0000	true
random/7z9	1048576	1048805	81	22	1.0002	true
random/aahl-v4	1048576	1048678	21	11	1.0001	true
random/rar	1048576	1048736	78	32	1.0002	true
random/xz	1048576	1048696	241	12	1.0001	true
random/zip6	1048576	1048766	43	23	1.0002	true
random/zstd	1048576	1048613	101	12	1.0000	true
table/7z9	9128841	1393191	2489	91	0.1526	true
table/aahl-v4	9128841	1674390	51006	198	0.1834	true
table/rar	9128841	1681802	510	59	0.1842	true
table/xz	9128841	1395056	4799	79	0.1528	true
table/zip6	9128841	1688118	1305	66	0.1849	true
table/zstd	9128841	1508699	6360	28	0.1653	true
text-large/7z9	1375929	387999	294	33	0.2820	true
text-large/aahl-v4	1375929	324987	15626	48	0.2362	true
text-large/rar	1375929	415968	102	37	0.3023	true
text-large/xz	1375929	388208	572	22	0.2821	true
text-large/zip6	1375929	443641	247	40	0.3224	true
text-large/zstd	1375929	392441	531	13	0.2852	true
tiny/7z9	1	159	14	19	159.0000	true
tiny/aahl-v4	1	100	20	8	100.0000	true
tiny/rar	1	72	34	30	72.0000	true
tiny/xz	1	68	10	9	68.0000	true
tiny/zip6	1	181	13	20	181.0000	true
tiny/zstd	1	14	9	9	14.0000	true
