corpus	jobs	runs	raw	ratio	arc_bytes	arc_blake3	create_median_ms	create_min_ms	create_max_ms	extract_median_ms	extract_min_ms	extract_max_ms	speedup_vs_j1	efficiency	deterministic
table	1	1	9128841	0.1686	1538846	f368280196eef73b15cc9d763c6f029fc2583eeb5fccd975ee10bf8e14bfe2d0	150134	150134	150134	165	165	165	1.000	1.000	true
table	2	1	9128841	0.1686	1538846	f368280196eef73b15cc9d763c6f029fc2583eeb5fccd975ee10bf8e14bfe2d0	151383	151383	151383	164	164	164	0.992	0.496	true
table	4	1	9128841	0.1686	1538846	f368280196eef73b15cc9d763c6f029fc2583eeb5fccd975ee10bf8e14bfe2d0	151083	151083	151083	166	166	166	0.994	0.248	true
table	8	1	9128841	0.1686	1538846	f368280196eef73b15cc9d763c6f029fc2583eeb5fccd975ee10bf8e14bfe2d0	150761	150761	150761	163	163	163	0.996	0.124	true
