corpus	jobs	runs	raw	ratio	arc_bytes	arc_blake3	create_median_ms	create_min_ms	create_max_ms	extract_median_ms	extract_min_ms	extract_max_ms	speedup_vs_j1	efficiency	deterministic
random	1	5	1048576	1.0001	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	22	21	23	10	10	11	1.000	1.000	true
random	4	5	1048576	1.0001	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	22	22	23	10	10	11	1.000	0.250	true
random	8	5	1048576	1.0001	1048678	b271772de23c3eed8109aabc2633e7b9e34354afab60aece37fb820b13b2512a	22	22	24	10	10	12	1.000	0.125	true
table	1	5	9128841	0.1834	1674390	a0db6ac51faacd16ed947339e9c10d346cc700d37a465fcaf69d47b62a5cfa12	50592	49819	51409	202	192	218	1.000	1.000	true
table	4	5	9128841	0.1834	1674390	a0db6ac51faacd16ed947339e9c10d346cc700d37a465fcaf69d47b62a5cfa12	49991	49778	50182	197	191	207	1.012	0.253	true
table	8	5	9128841	0.1834	1674390	a0db6ac51faacd16ed947339e9c10d346cc700d37a465fcaf69d47b62a5cfa12	49646	48999	50695	203	192	209	1.019	0.127	true
text-large	1	5	1375929	0.2362	324987	23e5f429be91a43c528852a26d633f188f4d69d19d243f2113e37dcdc8a72386	15804	15479	15859	48	47	54	1.000	1.000	true
text-large	4	5	1375929	0.2362	324987	23e5f429be91a43c528852a26d633f188f4d69d19d243f2113e37dcdc8a72386	15755	15625	15850	48	47	50	1.003	0.251	true
text-large	8	5	1375929	0.2362	324987	23e5f429be91a43c528852a26d633f188f4d69d19d243f2113e37dcdc8a72386	15804	15588	15849	47	47	51	1.000	0.125	true
